2227 100 9 67 -35 67 46 -68 3 -13 53 74 -70 -68 51 35 1 59 -9 42 -1 -73 35 45 25 -39 61 -1 -37 -66 49 -55 -25 91 -71 44 -74 -29 64 58 -91 16 100 87 5 -62 62 -94 -35 -5 26 -43 48 57 98 -45 -9 15 -83 -30 -83 -79 -86 81 96 -54 -56 -16 -25 -78 51 -33 -40 25 83 92 -27 -19 -94 -64 -13 46 85 61 5 -61 -7 -49 -96 -40 84 -42 -59 -73 25 -97 -66 -91 -90 -85 -62 -23
2274 100 54 -72 40 -56 -50 27 -40 -32 84 92 22 -12 25 -38 96 76 -55 -100 -9 -54 -53 49 -8 90 3 -48 6 50 51 -36 -43 -74 49 -31 -85 -82 -23 -69 -66 83 86 -10 -40 -22 -99 -48 7 -92 -88 -14 -60 -10 -68 -26 -89 94 -37 -49 73 -41 -64 2 -63 -87 -89 66 -10 56 -13 -97 -98 95 -21 -74 -88 -73 72 -57 66 89 54 7 -99 52 64 73 -38 10 -43 -34 -36 64 77 87 89 -82 -44 98 -63 -39
2537 100 -40 -50 56 -2 -89 88 -61 33 -48 97 -58 96 -6 93 21 -63 60 -16 20 -31 -48 -8 32 60 -8 -99 63 -77 -33 50 25 -61 -54 24 -43 49 -44 39 2 92 97 -76 7 14 10 -3 -5 16 91 47 32 56 45 -15 -88 -17 92 80 33 61 -8 -22 -60 7 -19 51 -99 67 -62 -78 -91 -90 62 -39 -27 98 -94 -66 6 96 -61 -35 78 -64 42 -76 8 46 -7 -45 -4 89 -46 42 2 69 -47 -69 72 22
2025 100 -27 26 35 -79 4 57 34 -66 -65 25 35 54 64 28 82 60 -90 37 -94 -77 -42 -7 -23 -78 -51 -98 60 -8 28 81 -66 -92 15 47 -17 -10 -19 -77 -93 -50 -83 16 47 43 -42 72 55 41 -6 38 15 -10 -71 -83 42 -30 -67 68 -13 75 -54 30 92 32 25 -94 8 -65 -5 -53 53 -6 -43 -56 -52 -52 -83 -72 41 -79 -48 -7 -16 73 60 -92 -59 -93 -47 88 -58 -39 4 32 17 45 -54 -63 74 81
2220 100 -21 -34 9 -92 77 85 -87 7 30 72 32 47 44 -81 -26 23 6 69 3 37 57 17 19 29 46 -79 19 2 -26 -19 42 1 -70 52 11 10 -67 -15 81 24 31 55 1 60 -21 -4 -46 -38 -26 -66 -31 19 13 -65 57 -16 -71 -51 -70 80 -75 -43 44 40 -9 72 -92 10 -78 64 28 -64 54 29 94 74 -26 -55 43 -43 -62 12 -1 92 10 33 -35 59 -86 -27 91 24 -23 -83 -51 43 41 -68 -70 -52
2523 100 26 -50 -79 63 66 87 -31 -53 -30 69 79 -74 43 27 -24 17 -81 26 55 56 -91 98 84 88 55 -44 78 10 18 -17 -61 16 64 31 -41 -6 78 -26 -82 93 -48 -12 48 37 9 -58 -50 31 51 -68 -17 -98 76 -6 7 99 85 8 -3 -84 -37 50 -8 -15 25 -41 80 -84 -49 -66 -8 -67 -39 -79 83 -46 -22 44 -44 -58 -84 -10 -71 65 84 -2 30 -95 -39 26 3 6 92 -83 5 -5 21 42 -60 93
2101 100 34 -21 68 -15 43 35 59 52 -39 35 6 1 51 -16 34 85 11 100 -20 -96 9 67 -47 -5 -93 92 38 45 -51 -77 70 -31 46 -41 -95 -12 81 25 -61 8 -7 53 13 8 -36 -31 -67 -90 32 -97 7 -33 -64 -28 -32 31 38 -13 -76 -77 -42 51 -32 26 -29 97 70 -72 54 -29 56 -17 51 4 -5 -86 97 -63 13 72 -78 88 -56 3 44 -54 -76 48 -91 -29 -31 -18 20 1 -49 33 -83 11 -91 62
2690 100 -24 27 63 -33 -28 9 -38 29 5 -59 -3 55 -71 -67 -85 9 -36 -33 -38 -65 -7 -86 7 -66 35 20 -100 -51 19 -62 53 -58 -77 69 -76 -45 74 69 -58 28 -94 76 83 -93 85 -98 -25 26 26 60 83 84 89 28 25 -82 -39 -2 9 99 87 45 -47 -43 -15 91 -75 70 98 -16 49 30 -93 94 86 -53 50 86 14 77 -29 76 -54 -43 -59 65 96 -4 67 -45 24 -42 91 -94 -89 -54 -61 40 -4 11
2810 100 18 -23 30 18 -30 65 -40 36 -17 67 -20 -26 65 -22 -80 96 85 -51 -2 22 5 36 35 83 25 -59 84 10 44 -42 4 80 2 -69 -71 -44 -78 -66 85 69 40 14 46 86 85 84 42 51 -48 -72 33 100 43 51 -76 -78 31 -81 -61 -65 85 -13 48 -32 100 -5 100 66 -23 -71 90 -60 -23 63 6 -29 -96 10 20 -25 36 -17 -6 43 96 4 -68 94 21 1 -79 77 7 -68 -3 36 14 33 -78 -82
2441 100 83 -6 -57 -57 -1 -20 -50 -80 82 -84 -62 -36 -48 -44 44 43 -32 86 -18 3 -74 -91 4 -34 10 10 -52 94 91 32 100 -33 -15 -71 76 -74 -23 25 72 91 -22 99 43 -14 5 31 30 -60 64 2 -65 -70 97 97 -10 -95 -3 -3 80 -68 -25 59 -95 38 40 -72 10 17 29 -28 88 56 88 -3 -47 -46 -99 -88 29 52 11 22 -75 -91 31 90 90 -36 86 -23 64 39 13 -19 -16 -93 -70 -55 -69 -64
